"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 10:42:34 UTC 2025","Tue Dec 16 10:42:35 UTC 2025","19","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessGetQuoteWithoutAuth_thenOk","whenAccessGetQuoteWithoutAuth_thenOk()",""
"passed","Tue Dec 16 10:42:49 UTC 2025","Tue Dec 16 10:42:49 UTC 2025","101","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","getInsuranceConfigurationById_shouldThrowNotFound_WhenMissing","getInsuranceConfigurationById_shouldThrowNotFound_WhenMissing()",""
"passed","Tue Dec 16 10:42:29 UTC 2025","Tue Dec 16 10:42:29 UTC 2025","15","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldUseCachedTokenWhenValid","getArgoCDToken_shouldUseCachedTokenWhenValid()",""
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:16 UTC 2025","12","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Manifest with missing annotations",""
"passed","Tue Dec 16 10:42:29 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","2419","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldHandleNetworkErrors","getArgoCDToken_shouldHandleNetworkErrors()",""
"passed","Tue Dec 16 10:42:23 UTC 2025","Tue Dec 16 10:42:23 UTC 2025","15","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldThrowExceptionWhenNoTokenReceived","getArgoCDToken_shouldThrowExceptionWhenNoTokenReceived()",""
"passed","Tue Dec 16 10:42:33 UTC 2025","Tue Dec 16 10:42:33 UTC 2025","142","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","createInsuranceConfiguration_ReturnsCreatedDto","createInsuranceConfiguration_ReturnsCreatedDto()",""
"passed","Tue Dec 16 10:42:22 UTC 2025","Tue Dec 16 10:42:22 UTC 2025","12","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldSkipInvalidEntrypoints","listFrontendEndpoints_shouldSkipInvalidEntrypoints()",""
"passed","Tue Dec 16 10:42:09 UTC 2025","Tue Dec 16 10:42:09 UTC 2025","19","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","shouldThrowConflictWhenDifferentRawData","shouldThrowConflictWhenDifferentRawData()",""
"passed","Tue Dec 16 10:42:22 UTC 2025","Tue Dec 16 10:42:22 UTC 2025","13","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldReturnEmptyList_whenNoApplicationsFound","listFrontendEndpoints_shouldReturnEmptyList_whenNoApplicationsFound()",""
